UrlPathPath,UrlPathRedirect,UrlPathStatus,UrlPathCreated,UrlPathUpdated,AreaName,UrlPathVisitsCount
/aksjeanalyser/10-grunner-til-at-vi-liker-aker-bp,https://www.paretosec.no/aksjeanalyser,301,2023-07-03 17:27:39.490,2023-07-03 17:27:39.490,Pareto (no),1
/aksjeanalyser/aker-bp-sterk-vekst-i-inntjening-og-utbytte-2,https://www.paretosec.no/aksjeanalyser,301,2023-07-03 17:09:03.737,2023-07-03 17:09:03.737,Pareto (no),23
/aksjeanalyser/aker-bp-til-en-god-pris-2,https://www.paretosec.no/aksjeanalyser,301,2023-07-03 17:29:36.907,2023-07-03 17:29:36.907,Pareto (no),31
/aksjeanalyser/arkiv/10-grunner-til-at-vi-liker-aker-bp,https://www.paretosec.no/aksjeanalyser,301,2023-07-03 17:27:50.820,2023-07-03 17:27:50.820,Pareto (no),70
/aksjeanalyser/arkiv/aker-bp-sterk-vekst-i-inntjening-og-utbytte-2,https://www.paretosec.no/aksjeanalyser,301,2023-07-03 17:09:15.130,2023-07-03 17:09:15.130,Pareto (no),21
/aksjeanalyser/arkiv/aker-bp-til-en-god-pris-2,https://www.paretosec.no/aksjeanalyser,301,2023-07-03 17:29:49.267,2023-07-03 17:29:49.267,Pareto (no),30
/aksjeanalyser/arkiv/dno-klar-for-take-off-2,https://www.paretosec.no/aksjeanalyser,301,2023-07-03 17:11:32.300,2023-07-03 17:11:32.300,Pareto (no),24
/aksjeanalyser/arkiv/en-saas-pioner-for-det-groenne-energimarkedet,https://www.paretosec.no/aksjeanalyser,301,2023-07-03 17:27:05.253,2023-07-03 17:27:05.253,Pareto (no),32
/aksjeanalyser/arkiv/e-p-survey-2016-lys-i-tunellen-2,https://www.paretosec.no/aksjeanalyser,301,2023-07-03 16:42:11.833,2023-07-03 16:42:11.833,Pareto (no),20
/aksjeanalyser/arkiv/fjord1-solid-selskap-attraktivt-priset-2,https://www.paretosec.no/aksjeanalyser,301,2023-07-03 17:12:17.210,2023-07-03 17:12:17.210,Pareto (no),18
/aksjeanalyser/arkiv/gjensidige-til-rabatt-2,https://www.paretosec.no/aksjeanalyser,301,2023-07-03 17:10:22.027,2023-07-03 17:10:22.027,Pareto (no),22
